set,domain,sub_domain,cov_lpg,cov_lpg_small,cov_pr2,cov_pr2_inv0,cov_prp,cov_prp_inv0,time_lpg,time_lpg_small,time_pr2,time_pr2_inv0,time_prp,time_prp_inv0,mem_lpg,mem_lpg_small,mem_pr2,mem_pr2_inv0,mem_prp,mem_prp_inv0,size_lpg,size_lpg_small,size_pr2,size_pr2_inv0,size_prp,size_prp_inv0
AIJ,ZenoTravel,EIGHT50,1.0,1.0,0.35,0.35,0.8,0.75,122.11,23.17,95.39,47.99,66.77,39.15,280.49,273.33,125.61,75.14,326.13,290.91,893.72,831.06,5238.18,5222.28,4555.76,4054.21
AIJ,ZenoTravel,RING50,1.0,1.0,1.0,1.0,1.0,1.0,11.79,5.06,31.04,2.14,17.7,2.53,277.08,273.28,248.48,49.51,243.6,50.48,335.19,339.31,537.58,536.94,539.88,538.55
AIJ,ZenoTravel,RND50,1.0,1.0,0.3,0.3,0.65,0.5,67.99,17.72,482.22,527.72,89.5,36.72,271.24,268.4,106.71,123.77,599.58,742.97,919.4,900.05,23474.33,23474.33,6483.54,4638.1
AIJ,ZenoTravel,SCC2-20,0.42,0.33,0.45,0.45,0.48,0.48,111.06,160.02,107.85,203.72,84.29,154.66,327.64,369.87,198.36,563.0,166.52,585.97,874.57,1443.91,13214.67,13214.67,7287.75,7287.75
AIJ,ZenoTravel,SCC56,1.0,1.0,0.05,0.05,0.5,0.35,322.76,78.22,734.34,589.76,380.43,339.81,317.23,331.0,112.9,115.13,539.99,674.28,4713.96,6285.36,7389.0,8313.0,10994.55,11026.93
FOND,BlocksWorld,EIGHT4-51,,,1.0,1.0,1.0,1.0,,,27.33,0.87,11.94,0.74,,,196.43,39.06,175.76,33.55,,,233.65,233.53,207.94,208.29
FOND,BlocksWorld,EIGHT50,,,0.25,0.25,0.5,0.4,,,67.41,50.97,30.91,7.48,,,136.14,122.27,324.14,190.53,,,8245.56,8150.56,3724.47,3664.71
FOND,BlocksWorld,EIGHT6,,,0.7,0.7,1.0,0.74,,,53.76,61.08,3.08,1.93,,,50.6,81.39,156.1,136.69,,,4722.41,4801.0,366.63,313.45
FOND,BlocksWorld,LIN10-110,,,0.86,0.86,0.86,0.86,,,2.89,1.72,1.83,1.21,,,49.34,41.62,37.4,37.74,,,449.44,454.59,445.36,445.15
FOND,BlocksWorld,RING5-100,,,1.0,1.0,1.0,1.0,,,24.78,0.82,14.68,0.7,,,229.41,38.77,224.44,33.24,,,171.38,171.38,150.88,150.88
FOND,BlocksWorld,RING50,,,0.45,0.45,0.7,0.55,,,95.0,74.23,17.58,3.29,,,248.31,104.57,374.23,211.89,,,6112.45,6285.52,1231.65,1187.68
FOND,BlocksWorld,RING6,,,0.78,0.78,1.0,0.87,,,46.42,58.71,1.83,2.2,,,51.51,93.46,86.94,177.37,,,4641.12,4709.59,183.22,175.16
FOND,BlocksWorld,RND3-23,,,0.9,0.9,0.9,0.9,,,14.47,1.07,3.18,1.02,,,120.49,39.76,39.5,40.0,,,334.52,334.9,319.23,319.23
FOND,BlocksWorld,RND50,,,0.4,0.4,0.5,0.4,,,125.65,157.89,25.9,18.9,,,97.47,84.28,260.95,333.59,,,9354.43,9722.21,5414.97,4896.0
FOND,BlocksWorld,RND6,,,0.48,0.48,0.65,0.57,,,23.75,47.29,2.16,2.02,,,45.08,57.57,83.94,103.96,,,2716.38,3140.59,491.63,482.31
FOND,BlocksWorld,SCC2-20,,,0.0,0.0,0.0,0.0,,,14.74,23.98,255.18,175.17,,,123.41,192.27,477.51,752.47,,,1932.67,1932.67,7539.45,5725.59
FOND,BlocksWorld,SCC3-11,,,1.0,1.0,1.0,1.0,,,1.75,1.49,1.31,1.11,,,42.21,40.97,35.58,36.2,,,346.5,356.06,364.44,364.78
FOND,BlocksWorld,SCC56,,,0.1,0.1,0.3,0.25,,,491.37,472.68,293.28,313.78,,,153.22,203.1,229.94,422.03,,,24589.95,28169.29,23085.15,22770.0
FOND,BlocksWorld,SCC6,,,0.65,0.65,0.91,0.65,,,42.25,54.69,3.2,1.56,,,50.07,73.29,141.15,83.13,,,4228.34,4350.45,554.64,460.63
SOCS,Blocks,CHN6-101,,,,,0.1,0.1,,,,,99.58,234.03,,,,,357.38,531.06,,,,,60.0,64.0
SOCS,Blocks,EIGHT50,0.05,0.1,0.1,0.05,0.05,0.1,1093.17,240.55,423.34,711.82,1409.7,751.21,313.44,311.73,145.38,169.35,479.48,260.14,1129.0,1437.5,994.5,1025.0,1505.0,1691.0
SOCS,Blocks,RING50,,,,0.1,0.05,,,,,770.19,566.6,,,,,249.45,512.5,,,,,419.0,517.0,
SOCS,Blocks,RND54,0.3,0.35,0.2,0.15,0.2,0.2,431.27,64.54,613.76,534.15,124.83,561.76,309.22,291.51,110.41,112.54,127.04,276.2,1447.83,2156.57,1263.25,1171.67,1574.75,1796.75
SOCS,Blocks,SCC56,0.3,0.3,0.15,0.15,0.1,0.15,303.6,74.11,587.23,273.42,26.16,336.1,304.75,304.48,86.61,94.79,68.85,302.36,3310.33,4728.17,2672.33,2701.67,1573.0,3523.33
SOCS,Blocks,STL5-43,0.15,0.1,0.05,0.1,0.4,0.3,372.86,13.67,0.8,2.04,545.33,453.38,296.36,280.36,39.14,39.47,806.97,771.07,76.0,73.0,53.0,56.0,133.25,119.83
SOCS,ZenoTravel,CHN6-101,0.05,0.05,0.05,0.1,0.1,0.1,4.31,15.28,35.23,278.33,28.97,12.48,277.5,283.0,264.15,577.75,149.48,49.78,145.0,180.0,128.0,83.5,90.0,90.5
SOCS,ZenoTravel,EIGHT4-51,0.12,0.12,0.12,0.06,0.59,0.65,21.18,1.74,0.87,0.85,308.81,644.9,279.84,265.29,38.2,37.9,207.59,423.17,78.5,85.0,163.0,76.0,872.6,958.0
SOCS,ZenoTravel,EIGHT50,0.6,0.55,0.5,0.55,0.65,0.65,122.11,23.17,95.39,47.99,66.77,39.15,280.49,273.33,125.61,75.14,326.13,290.91,893.72,831.06,5238.18,5222.28,4555.76,4054.21
SOCS,ZenoTravel,RING5-100,0.05,0.05,0.05,0.05,0.55,0.55,11.22,1.22,0.85,0.8,169.89,198.1,274.22,262.18,38.25,37.97,659.22,771.53,45.0,81.0,55.0,55.0,190.0,190.09
SOCS,ZenoTravel,RING50,0.6,0.6,0.65,0.65,0.65,0.65,11.79,5.06,31.04,2.14,17.7,2.53,277.08,273.28,248.48,49.51,243.6,50.48,335.19,339.31,537.58,536.94,539.88,538.55
SOCS,ZenoTravel,RND3-23,0.15,0.1,0.1,0.1,0.45,0.3,345.94,250.75,0.99,1.21,565.26,418.38,296.48,298.84,38.03,37.99,208.79,226.04,168.0,192.5,320.0,325.5,2198.56,1119.5
SOCS,ZenoTravel,RND54,0.8,0.65,0.25,0.35,0.9,0.8,381.1,57.08,612.44,170.75,199.74,148.73,310.59,311.52,145.06,117.12,672.67,671.25,3940.56,6886.69,5575.0,2833.14,5957.83,5749.94
SOCS,ZenoTravel,SCC3-11,0.11,0.11,0.11,,0.33,0.33,947.38,437.43,846.56,,118.56,96.73,319.72,328.42,93.75,,66.85,117.6,275.0,186.0,419.0,,1318.67,1316.67
SOCS,ZenoTravel,SCC56,0.35,0.25,0.05,0.05,0.5,0.4,322.76,78.22,734.34,589.76,380.43,339.81,317.23,331.0,112.9,115.13,539.99,674.28,4713.96,6285.36,7389.0,8313.0,10994.55,11026.93
SOCS,ZenoTravel,STL5-43,0.15,0.15,0.1,0.1,0.2,0.2,31.64,82.45,0.81,0.79,242.25,3.22,306.26,304.56,38.45,38.46,185.33,36.19,86.33,149.0,63.0,66.0,94.0,116.75
