tool	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 
run set	pr2	pr2	pr2	pr2	pr2	pr2	pr2	pr2_inv0	pr2_inv0	pr2_inv0	pr2_inv0	pr2_inv0	pr2_inv0	pr2_inv0
/home/nitin/app/experiments/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_EIGHT50_1.yml	true	16.026175	16.066372198052704	123.805696	1370	15.562510971911252	0.30311698839068413	true	62.145249	62.209457038901746	85.176320	1247	61.67270612390712	0.2953427527099848
AIJ_Barman_EIGHT50_10.yml	true	15.246974	15.289513831026852	112.234496	3672	14.7807347769849	0.3069040756672621	true	53.587099	53.63458093535155	81.997824	4965	53.087163142859936	0.30413284385576844
AIJ_Barman_EIGHT50_11.yml	true	68.21881	68.26670205406845	121.892864	19793	67.74803354311734	0.3165438757278025	true	865.943634	866.0804975582287	460.713984	74468	865.4968566708267	0.2960901507176459
AIJ_Barman_EIGHT50_12.yml	true	104.457013	104.49121399689466	142.397440	23262	103.99130612192675	0.2978256782516837	true	779.547802	779.6821404378861	462.352384	77181	779.1112811998464	0.2949823238886893
AIJ_Barman_EIGHT50_13.yml	true	114.35401	114.3910217108205	159.453184	31096	113.89075819589198	0.3015744462609291	true	90.527422	90.56662970175967	192.339968	30050	90.02666332339868	0.3010091600008309
AIJ_Barman_EIGHT50_14.yml	true	56.638186	56.653311242349446	109.285376	15481	56.15130947623402	0.30135280499234796	true	209.344923	209.40608931193128	224.833536	22653	208.8540675570257	0.29862213088199496
AIJ_Barman_EIGHT50_15.yml	true	126.414321	126.4390105009079	154.132480	25934	125.93048939295113	0.3075134460814297	true	388.102051	388.1840205807239	263.651328	32597	387.641064229887	0.29288684483617544
AIJ_Barman_EIGHT50_16.yml	true	17.31106	17.32613107934594	121.311232	196	16.803998103830963	0.3122251611202955	true	2.764597	2.7900386778637767	42.655744	947	2.280630678869784	0.29603112023323774
AIJ_Barman_EIGHT50_17.yml	true	24.504877	24.528280301950872	183.054336	119	24.048314643092453	0.2927370769903064	true	3.762885	3.770323612727225	46.321664	1775	3.2987393010407686	0.28915479220449924
AIJ_Barman_EIGHT50_18.yml	true	25.835592	25.855959265027195	192.851968	259	25.36553875077516	0.30167422676458955	true	4.435634	4.443120505660772	46.997504	1848	3.9625994809903204	0.2982270340435207
AIJ_Barman_EIGHT50_19.yml	true	35.956198	35.96527787623927	217.300992	171	35.475930880755186	0.29429468885064125	true	1.922622	1.9303460521623492	42.655744	612	1.4545769123360515	0.2920836661942303
AIJ_Barman_EIGHT50_2.yml	true	10.15482	10.16923049511388	86.110208	1393	9.685555761214346	0.29380437871441245	true	67.880737	67.89384511299431	78.200832	1326	67.42224464332685	0.2871956150047481
AIJ_Barman_EIGHT50_20.yml	true	21.209307	21.236302972305566	147.873792	288	20.755471612792462	0.28993634413927794	true	7.333155	7.340174060780555	56.352768	2574	6.8680099081248045	0.29108340106904507
AIJ_Barman_EIGHT50_3.yml	true	14.443736	14.460918240249157	114.360320	1107	13.98199148196727	0.2897982718423009	true	18.958953	18.969143711961806	45.834240	1008	18.49975480278954	0.28675919910892844
AIJ_Barman_EIGHT50_4.yml	true	24.413709	24.421937513165176	173.740032	939	23.909066601190716	0.30924674216657877	true	40.43245	40.447339897044	49.295360	807	39.970938209909946	0.2886605612002313
AIJ_Barman_EIGHT50_5.yml	true	14.420019	14.430203983094543	111.656960	1520	13.95011222595349	0.2915463582612574	true	6.396902	6.404501347802579	40.226816	1452	5.9330056556500494	0.2896155030466616
AIJ_Barman_EIGHT50_6.yml	true	39.056475	39.10481435805559	223.301632	3568	38.62013944471255	0.29519585194066167	true	46.132894	46.14455975778401	99.549184	11824	45.668261530809104	0.29014151403680444
AIJ_Barman_EIGHT50_7.yml	true	24.660694	24.684549360070378	155.627520	3515	24.20581404864788	0.28874190896749496	true	11.516419	11.524647949729115	53.583872	2919	11.047236328013241	0.28640077309682965
AIJ_Barman_EIGHT50_8.yml	true	12.035337	12.04659222997725	76.013568	4867	11.543386828154325	0.30357667664065957	true	22.27604	22.286264301277697	82.604032	10007	21.79563007131219	0.29323937417939305
AIJ_Barman_EIGHT50_9.yml	true	24.533625	24.543218323029578	155.897856	3388	24.07032746542245	0.2873400622047484	true	66.082209	66.09758357796818	101.765120	9460	65.62393324216828	0.2873534429818392
AIJ_Barman_RING50_1.yml	true	29.534016	29.542659864295274	246.611968	773	29.05030520679429	0.2943053958006203	true	45.543829	45.567413062788546	101.224448	732	45.08181345835328	0.2976202229037881
AIJ_Barman_RING50_10.yml	true	30.287799	30.303323368076235	247.320576	851	29.801748106256127	0.305894976016134	true	8.247398	8.254854070954025	54.800384	1251	7.780509444884956	0.2893157731741667
AIJ_Barman_RING50_11.yml	true	28.763845	28.79108444415033	247.869440	792	28.311525941826403	0.2920127157121897	true	2.551247	2.5575416260398924	44.085248	1191	2.083786806091666	0.2922530840151012
AIJ_Barman_RING50_12.yml	true	30.505711	30.516168996226043	247.582720	825	30.0239526508376	0.29419869696721435	true	3.248779	3.2543810247443616	46.465024	1524	2.7809548270888627	0.2928604451008141
AIJ_Barman_RING50_13.yml	true	29.863098	29.882706116884947	247.840768	840	29.389316653832793	0.29529025219380856	true	2.33763	2.3439712459221482	43.552768	1186	1.8769376031123102	0.29015767434611917
AIJ_Barman_RING50_14.yml	true	30.240683	30.252712591085583	247.812096	898	29.765547080896795	0.29282786417752504	true	7.257468	7.264196067117155	59.281408	1167	6.790281864348799	0.2900340589694679
AIJ_Barman_RING50_15.yml	true	29.205895	29.21571666188538	246.714368	1019	28.73482023505494	0.2924076779745519	true	7.640585	7.6493246499449015	56.459264	1390	7.178893870208412	0.28945251321420074
AIJ_Barman_RING50_16.yml	true	28.596969	28.615802185144275	248.217600	125	28.11187014216557	0.3068932583555579	true	1.971866	1.978956626728177	42.647552	559	1.5059357597492635	0.2919396967627108
AIJ_Barman_RING50_17.yml	true	28.998567	29.013855735771358	248.193024	110	28.534359404817224	0.2906187120825052	true	1.827759	1.8350528609007597	42.672128	601	1.3596358210779727	0.29282297007739544
AIJ_Barman_RING50_18.yml	true	29.924609	29.94964338792488	248.020992	147	29.47283874033019	0.2900453000329435	true	2.054406	2.0620264848694205	42.418176	627	1.5884019518271089	0.2893415200524032
AIJ_Barman_RING50_19.yml	true	29.732801	29.742345690727234	248.111104	120	29.261371853295714	0.2924530850723386	true	1.612245	1.619260173290968	42.434560	454	1.1381920599378645	0.30125244008377194
AIJ_Barman_RING50_2.yml	true	29.355832	29.365636793896556	246.603776	669	28.879495424218476	0.29096769029274583	true	26.585237	26.593982305843383	73.994240	632	26.11091325432062	0.29605414625257254
AIJ_Barman_RING50_20.yml	true	30.260499	30.280064980965108	248.594432	129	29.773841231130064	0.3010702561587095	true	7.800136	7.807870083954185	56.889344	734	7.335934474598616	0.2913214201107621
AIJ_Barman_RING50_3.yml	true	29.97614	29.98606985900551	246.620160	788	29.492338265758008	0.29681550804525614	true	15.0364	15.047399844042957	47.452160	755	14.573948406148702	0.2901408332400024
AIJ_Barman_RING50_4.yml	true	29.504545	29.51474649598822	246.575104	675	29.034978005103767	0.29266005428507924	true	35.781636	35.78998662298545	55.005184	613	35.311613163910806	0.29332488123327494
AIJ_Barman_RING50_5.yml	true	29.466146	29.484900264069438	246.509568	935	28.993749303277582	0.30036127706989646	true	5.740429	5.748013804666698	40.128512	883	5.2736260811798275	0.29020717088133097
AIJ_Barman_RING50_6.yml	true	29.562646	29.578857400920242	247.480320	737	29.09116643993184	0.2981325420551002	true	3.703516	3.709966039750725	45.408256	1022	3.2383296308107674	0.28895803773775697
AIJ_Barman_RING50_7.yml	true	28.623476	28.65247782226652	247.566336	687	28.164542492013425	0.2956934771500528	true	2.774451	2.781675511971116	41.701376	966	2.3013226222246885	0.2883125809021294
AIJ_Barman_RING50_8.yml	true	29.891738	29.901250295806676	247.459840	667	29.407960758078843	0.30185325583443046	true	3.145098	3.152345043141395	41.005056	955	2.6829212242737412	0.2874614973552525
AIJ_Barman_RING50_9.yml	true	29.117095	29.126560198608786	247.386112	850	28.641714439261705	0.29320470010861754	true	2.309787	2.3180877082049847	42.491904	1584	1.8324652737937868	0.29547475231811404
AIJ_Barman_RND50_1.yml	true	7.393415	7.403347600251436	78.909440	1454	6.91527749132365	0.29463138431310654	true	109.314308	109.33171156886965	85.803008	1339	108.83786463690922	0.2910138997249305
AIJ_Barman_RND50_10.yml	true	37.166826	37.17715624207631	77.291520	12077	36.684958801139146	0.29171680891886353	true	361.628507	361.6738482378423	155.340800	13147	361.17607472091913	0.28916008677333593
AIJ_Barman_RND50_11.yml	false	1799.431886	1799.581706434954	358.883328	-1	1799.0171224218793	0.29355658404529095	false	1662.34083	1662.7630620510317	521.056256	-1	1662.1836616629735	0.2900119898840785
AIJ_Barman_RND50_12.yml	false	1767.933759	1768.1082686833106	362.041344	-1	1767.5069357869215	0.29761770088225603	false	1330.265922	1330.328361960128	490.848256	-1	1329.7710415120237	0.28984818840399384
AIJ_Barman_RND50_13.yml	false	1300.388986	1300.7826743060723	349.601792	-1	1300.1919675050303	0.30292439786717296	false	993.775917	993.800210935995	446.713856	-1	993.2289644102566	0.28966435277834535
AIJ_Barman_RND50_14.yml	false	1426.84813	1426.9758618641645	368.517120	-1	1426.3933500233106	0.2945626522414386	false	1799.492016	1799.6434583161026	376.643584	-1	1799.0149161918089	0.3276369599625468
AIJ_Barman_RND50_15.yml	false	1710.187673	1710.4459086158313	359.854080	-1	1709.8169731427915	0.2980250637046993	false	1799.484506	1799.6031155060045	443.805696	-1	1799.0147824008018	0.30041629122570157
AIJ_Barman_RND50_16.yml	true	10.506763	10.51472948724404	73.265152	3443	10.029045209754258	0.29473707312718034	true	36.749712	36.76110265403986	112.111616	13340	36.27511896612123	0.290419879835099
AIJ_Barman_RND50_17.yml	true	11.609973	11.617653868161142	88.485888	2705	11.132190831005573	0.2957782419398427	true	30.340378	30.350194035097957	101.851136	11600	29.87512921495363	0.2878424278460443
AIJ_Barman_RND50_18.yml	true	15.775189	15.806575275957584	93.712384	4385	15.320057956967503	0.29582090536132455	true	1354.420055	1354.5835626660846	479.977472	76821	1354.0690878811292	0.2934754639863968
AIJ_Barman_RND50_19.yml	true	20.473543	20.483913985081017	86.065152	7164	19.973984678741544	0.31217005383223295	true	1189.613915	1190.2930968869478	474.238976	76154	1189.7683797492646	0.2945279199630022
AIJ_Barman_RND50_2.yml	true	7.754705	7.761480160988867	81.936384	1370	7.281518160831183	0.29243318922817707	true	86.387846	86.41806437494233	73.404416	1308	85.90284167882055	0.2944814129732549
