task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_Barman_RING50_15.yml,pr2,true,True,29.205895,29.21571666188538,246.714368,1019.0,28.73482023505494,0.2924076779745519,"('AIJ', 'Barman', 'RING50', '15')",AIJ,Barman,RING50,Barman-RING50,15
AIJ_Barman_RING50_16.yml,pr2,true,True,28.596969,28.615802185144275,248.2176,125.0,28.11187014216557,0.3068932583555579,"('AIJ', 'Barman', 'RING50', '16')",AIJ,Barman,RING50,Barman-RING50,16
AIJ_Barman_RING50_17.yml,pr2,true,True,28.998567,29.01385573577136,248.193024,110.0,28.534359404817224,0.2906187120825052,"('AIJ', 'Barman', 'RING50', '17')",AIJ,Barman,RING50,Barman-RING50,17
AIJ_Barman_RING50_18.yml,pr2,true,True,29.924609,29.94964338792488,248.020992,147.0,29.47283874033019,0.2900453000329435,"('AIJ', 'Barman', 'RING50', '18')",AIJ,Barman,RING50,Barman-RING50,18
AIJ_Barman_RING50_19.yml,pr2,true,True,29.732801,29.742345690727237,248.111104,120.0,29.261371853295717,0.2924530850723386,"('AIJ', 'Barman', 'RING50', '19')",AIJ,Barman,RING50,Barman-RING50,19
AIJ_Barman_RING50_2.yml,pr2,true,True,29.355832,29.36563679389656,246.603776,669.0,28.87949542421848,0.2909676902927458,"('AIJ', 'Barman', 'RING50', '2')",AIJ,Barman,RING50,Barman-RING50,2
AIJ_Barman_RING50_20.yml,pr2,true,True,30.260499,30.280064980965108,248.594432,129.0,29.773841231130064,0.3010702561587095,"('AIJ', 'Barman', 'RING50', '20')",AIJ,Barman,RING50,Barman-RING50,20
AIJ_Barman_RING50_3.yml,pr2,true,True,29.97614,29.98606985900551,246.62016,788.0,29.492338265758008,0.2968155080452561,"('AIJ', 'Barman', 'RING50', '3')",AIJ,Barman,RING50,Barman-RING50,3
AIJ_Barman_RING50_4.yml,pr2,true,True,29.504545,29.51474649598822,246.575104,675.0,29.034978005103767,0.2926600542850792,"('AIJ', 'Barman', 'RING50', '4')",AIJ,Barman,RING50,Barman-RING50,4
AIJ_Barman_RING50_5.yml,pr2,true,True,29.466146,29.48490026406944,246.509568,935.0,28.993749303277585,0.3003612770698964,"('AIJ', 'Barman', 'RING50', '5')",AIJ,Barman,RING50,Barman-RING50,5
AIJ_Barman_RING50_6.yml,pr2,true,True,29.562646,29.57885740092024,247.48032,737.0,29.09116643993184,0.2981325420551002,"('AIJ', 'Barman', 'RING50', '6')",AIJ,Barman,RING50,Barman-RING50,6
AIJ_Barman_RING50_7.yml,pr2,true,True,28.623476,28.65247782226652,247.566336,687.0,28.164542492013425,0.2956934771500528,"('AIJ', 'Barman', 'RING50', '7')",AIJ,Barman,RING50,Barman-RING50,7
AIJ_Barman_RING50_8.yml,pr2,true,True,29.891738,29.90125029580668,247.45984,667.0,29.407960758078843,0.3018532558344304,"('AIJ', 'Barman', 'RING50', '8')",AIJ,Barman,RING50,Barman-RING50,8
AIJ_Barman_RING50_9.yml,pr2,true,True,29.117095,29.126560198608782,247.386112,850.0,28.641714439261705,0.2932047001086175,"('AIJ', 'Barman', 'RING50', '9')",AIJ,Barman,RING50,Barman-RING50,9
AIJ_Barman_RND50_1.yml,pr2,true,True,7.393415,7.403347600251436,78.90944,1454.0,6.91527749132365,0.2946313843131065,"('AIJ', 'Barman', 'RND50', '1')",AIJ,Barman,RND50,Barman-RND50,1
